tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***25214,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,32 STEWART ST,,,ON
***05440,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,172 OSSINGTON AVE,,,ON
***29079,20240301,3,PARK ON PRIVATE PROPERTY,75,0003,,4440 JANE ST,,,ON
***20478,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,290 SYMINGTON AVE,,,ON
***42250,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0003,NR,82 SECORD AVE,,,ON
***48830,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,110 SACKVILLE ST,,,ON
***05441,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,172 OSSINGTON AVE,,,ON
***29080,20240301,3,PARK ON PRIVATE PROPERTY,75,0004,,4400 JANE ST,,,ON
***80409,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0004,OPP,1605 QUEEN ST W,,,ON
***01831,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,500 ROXTON RD,,,ON
***83373,20240301,3,PARK ON PRIVATE PROPERTY,75,0005,,107 FLEMINGTON ROAD,,,ON
***84583,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0005,OPP,1 NORMAN AVE,,,ON
***94345,20240301,257,PARK CONTRARY POSTED CONDITION,100,0005,AT,55 FOREST MANOR RD,,,ON
***25215,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,75 PORTLAND ST,,,ON
***25216,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,75 PORTLAND ST,,,ON
***56729,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,7 IRWIN AVE,,,ON
***84584,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0006,OPP,1 NORMAN AVE,,,ON
***25217,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,77 PORTLAND ST,,,ON
***31585,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,723 CARLAW AVE,,,ON
***05442,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,145 OSSINGTON AVE,,,ON
***29081,20240301,3,PARK ON PRIVATE PROPERTY,75,0007,,4400 JANE ST,,,ON
***60291,20240301,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0007,NR,366 BLOOR ST E,,,ON
***20479,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,290 SYMINGTON AVE,,,ON
***56730,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,13 IRWIN AVE,,,ON
***84585,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,138 MCROBERTS AVE,,,ON
***55256,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0008,NR,777 DANFORTH AVE,,,ON
***01832,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,629 CRAWFORD ST,,,ON
***05443,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,186 OSSINGTON AVE,,,ON
***29085,20240301,3,PARK ON PRIVATE PROPERTY,75,0009,,4400 JANE ST,,,ON
***20480,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,290 SYMINGTON AVE,,,ON
***42251,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0009,S/S,GOODWOOD PARK CRES,E/O,EASTDALE AVE,ON
***65304,20240301,3,PARK ON PRIVATE PROPERTY,75,0010,,2 ARMEL CRT,,,ON
***52001,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0010,AT,48 THORNCLIFFE PARK DR,,,ON
***56731,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,21 IRWIN AVE,,,ON
***80410,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0010,NR,1594 QUEEN ST W,,,ON
***01833,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,629 CRAWFORD ST,,,ON
***05444,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,145 OSSINGTON AVE,,,ON
***60292,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0011,OPP,7 SELBY ST,,,ON
***25218,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,1 RYERSON AVE,,,ON
***80411,20240301,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0011,NR,80 BEATY AVE,,,ON
***01834,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,629 CRAWFORD ST,,,ON
***05445,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,148 OSSINGTON AVE,,,ON
***65305,20240301,3,PARK ON PRIVATE PROPERTY,75,0012,,2 ARMEL CRT,,,ON
***60293,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0012,OPP,7 SELBY ST,,,ON
***25219,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,1 RYERSON AVE,,,ON
***42252,20240301,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0012,N/S,GOODWOOD PARK CRES,E/O,EASTDALE AVE,ON
***52002,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0012,AT,48 THORNCLIFFE PARK DR,,,ON
***67150,20240301,338,PARK - BETWEEN ROAD & SIDEWALK,50,0012,NR,71 SYRACUSE CRES,,,ON
***84586,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,42 INNES AVE,,,ON
***20481,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,290 SYMINGTON AVE,,,ON
***42253,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0013,N/S,GOODWOOD PARK CRES,E/O,EASTDALE AVE,ON
***52003,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0013,AT,48 THORNCLIFFE PARK DR,,,ON
***01835,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,746 CRAWFORD ST,,,ON
***05446,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,145 OSSINGTON AVE,,,ON
***59063,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,10 NORTHLAND AVE,,,ON
***84014,20240301,192,STAND SIGNED TRANSIT STOP,150,0014,NR,5460 YONGE ST,,,ON
***84587,20240301,355,PARK IN ACCESSIBLE NO PERMIT,450,0014,NR,42 INNES AVE,,,MB
***52004,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0014,AT,48 THORNCLIFFE PARK DR,,,ON
***67151,20240301,48,FAIL TO PARK/STOP PARALL. CURB,30,0014,NR,38 GARDENTREE ST,,,ON
***01836,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,746 CRAWFORD ST,,,ON
***84015,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0015,NR,5449 YONGE ST,,,ON
***01615,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,40 RAGLAN AVE,,,ON
***48831,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0015,OPP,48 POWER ST,,,ON
***52005,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0015,AT,48 THORNCLIFFE PARK DR,,,ON
***80412,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0015,NR,4 SAUNDERS AVE,,,ON
***05447,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,100 OSSINGTON AVE,,,ON
***84016,20240301,18,PARK-30.5M SIGNALIZED INTERSCT,50,0016,NR,5449 YONGE ST,,,ON
***84588,20240301,355,PARK IN ACCESSIBLE NO PERMIT,450,0016,NR,24 INNES AVE,,,ON
***48832,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,48 POWER ST,,,ON
***52006,20240301,4,PARK ON MUNICIPAL PROPERTY,75,0016,AT,48 THORNCLIFFE PARK DR,,,ON
***01837,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,8 LEEDS ST,,,ON
***05448,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,91 OSSINGTON AVE,,,ON
***84017,20240301,18,PARK-30.5M SIGNALIZED INTERSCT,50,0017,NR,5449 YONGE ST,,,ON
***20369,20240301,257,PARK CONTRARY POSTED CONDITION,100,0017,AT,8 AVON PARK DR,,,ON
***05449,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0017,NR,91 OSSINGTON AVE,,,ON
***59064,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,121 SPEARS ST,,,ON
***60294,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,2 LINDEN ST,,,ON
***84018,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0018,NR,5449 YONGE ST,,,ON
***84589,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,248 MCROBERTS AVE,,,ON
***20370,20240301,257,PARK CONTRARY POSTED CONDITION,100,0018,AT,8 AVON PARK DR,,,ON
***33945,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,135 LONG BRANCH AVE,,,ON
***42254,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0018,N/S,GOODWOOD PARK CRES,E/O,EASTDALE AVE,ON
***29082,20240301,3,PARK ON PRIVATE PROPERTY,75,0019,,4400 JANE ST,,,ON
***59065,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,121 SPEARS ST,,,ON
***60295,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,2 LINDEN ST,,,ON
***84019,20240301,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0019,NR,5449 YONGE ST,,,ON
***01616,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,1001 RAGLAN AVE,,,ON
***20482,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,214 SYMINGTON AVE,,,ON
***33946,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,115 LONG BRANCH AVE,,,ON
***01838,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,10 IRENE AVE,,,ON
***59066,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,83 SPEARS ST,,,ON
***94346,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0020,NR,18 ADRA GRADO WAY,,,ON
***20483,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,214 SYMINGTON AVE,,,ON
***33947,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,115 LONG BRANCH AVE,,,ON
***80413,20240301,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0020,NR,216 CLOSE AVE,,,ON
***05450,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,34 FENNINGS ST,,,ON
***29083,20240301,3,PARK ON PRIVATE PROPERTY,75,0021,,4400 JANE ST,,,ON
***59067,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,83 SPEARS ST,,,ON
***66038,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,2 LINDEN ST,,,ON
***25220,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,146 AUGUSTA AVE,,,ON
***35900,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,331 MARGUERETTA ST,,,ON
***60485,20240301,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,0022,NR,37 DARNBOROUGH WAY,,,ON
***20839,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,1981 DUNDAS ST E,,,ON
***25221,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,146 AUGUSTA AVE,,,QC
***33948,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0022,OPP,120 LONG BRANCH AVE,,,ON
***33949,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0022,OPP,70 LONG BRANCH AVE,,,ON
***35901,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,313 MARGUERETTA ST,,,QC
***01617,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,163 KENWOOD AVE,,,ON
***25222,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,156 AUGUSTA AVE,,,ON
***31586,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,521 JONES AVE,,,ON
***48833,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0023,E/S,FREELAND ST,N/O,QUEENS QUAY E,NS
***55257,20240301,383,STOP NON-BICYCLE IN CYCLE TRCK,150,0023,NR,671 DANFORTH AVE,,,ON
***59068,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,37 MCCORMACK ST,,,ON
***25223,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,156 AUGUSTA AVE,,,ON
***35902,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,241 MARGUERETTA ST,,,ON
***05451,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0024,NR,24 BROOKFIELD ST,,,ON
***01771,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,57 MCCORMACK ST,,,ON
***31587,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0025,N/S,BAIRD AVE,E/O,JONES AVE,ON
***33950,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0025,OPP,70 LONG BRANCH AVE,,,ON
***55258,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,NR,717 PAPE AVE,,,ON
***80414,20240301,192,STAND SIGNED TRANSIT STOP,150,0025,NR,1128 QUEEN ST W,,,ON
***05452,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,NR,24 BROOKFIELD ST,,,ON
***01772,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,57 MCCORMACK ST,,,ON
***01618,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,37 KENWOOD AVE,,,ON
***20484,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,70 SYMINGTON AVE,,,ON
***25224,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,162 AUGUSTA AVE,,,ON
***05453,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0026,NR,24 BROOKFIELD ST,,,ON
***66039,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0027,OPP,40 EARL ST,,,ON
***84590,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0027,OPP,18 SUMMIT AVE,,,ON
***20840,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0027,S/S,DUNDAS ST E,W/O,EDGEWOOD AVE,ON
***48834,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0027,OPP,55 COOPER ST,,,ON
***01839,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,57 HEPBOURNE ST,,,ON
***84591,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0028,OPP,18 SUMMIT AVE,,,ON
***20485,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,70 SYMINGTON AVE,,,ON
***20841,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0028,S/S,DUNDAS ST E,W/O,EDGEWOOD AVE,ON
***30313,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,1 LEONARD AVE,,,ON
***01840,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,71 HEPBOURNE ST,,,ON
***29084,20240301,3,PARK ON PRIVATE PROPERTY,75,0029,,4400 JANE ST,,,ON
***48898,20240301,8,STAND VEH.-PROHIBIT TIME/DAY,100,0029,NR,1241 ALBION RD,,,ON
***20486,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,70 SYMINGTON AVE,,,ON
***31588,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,87 RAVINA CRES,,,ON
***80415,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,60 OSSINGTON AVE,,,ON
***48899,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0030,NR,1241 ALBION RD,,,ON
***30314,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0030,NR,17 LEONARD AVE,,,ON
***31254,20240301,3,PARK ON PRIVATE PROPERTY,75,0030,AT,170 CHALKFARM DR,,,ON
***01841,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0030,NR,277 RUSHOLME RD,,,ON
***16863,20240301,3,PARK ON PRIVATE PROPERTY,75,0031,,81 COYOTE CRESCENT,,,ON
***01619,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,44 PINEWOOD AVE,,,ON
***20487,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,70 SYMINGTON AVE,,,ON
***30315,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,17 LEONARD AVE,,,ON
***31255,20240301,3,PARK ON PRIVATE PROPERTY,75,0031,AT,170 CHALKFARM DR,,,ON
***33951,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,10 CARNATION AVE,,,ON
***80416,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,78 OSSINGTON AVE,,,ON
***05454,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,68 ABELL ST,,,SK
***01773,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,57 MCCORMACK ST,,,ON
***01620,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,44 PINEWOOD AVE,,,ON
***48835,20240301,3,PARK ON PRIVATE PROPERTY,75,0032,AT,39 QUEENS QUAY E,,,ON
***55259,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,223 STRATHMORE BLVD,,,ON
***01842,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,229 RUSHOLME RD,,,ON
***12544,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0032,OPP,146 ROSEMOUNT AVE,,,AB
***84592,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,387 MCROBERTS AVE,,,ON
***20488,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,70 SYMINGTON AVE,,,ON
***30316,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,90 NASSAU ST,,,ON
***80417,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,114 OSSINGTON AVE,,,ON
***16864,20240301,3,PARK ON PRIVATE PROPERTY,75,0034,,81 COYOTE CRESCENT,,,ON
***80418,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0034,NR,114 OSSINGTON AVE,,,ON
***01843,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0034,NR,167 RUSHOLME RD,,,ON
***05455,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0034,NR,120 DOVERCOURT RD,,,ON
***31256,20240301,3,PARK ON PRIVATE PROPERTY,75,0035,AT,190 CHALKFARM DR,,,ON
***31589,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0035,NR,81 EARL GREY RD,,,ON
***55260,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0035,NR,8 OAKDENE CRES,,,ON
***01844,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0035,NR,167 RUSHOLME RD,,,ON
***12545,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0035,NR,84 GREENLAW AVE,,,ON
***80419,20240301,48,FAIL TO PARK/STOP PARALL. CURB,30,0036,OPP,1 HUMBERT ST,,,ON
***05456,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,146 DOVERCOURT RD,,,ON
***01774,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0037,NR,57 FELTHAM AVE,,,ON
***01845,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0037,NR,167 RUSHOLME RD,,,ON
***01775,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,57 FELTHAM AVE,,,ON
***30317,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,60 OXFORD ST,,,ON
***31257,20240301,3,PARK ON PRIVATE PROPERTY,75,0038,AT,200 CHALKFARM DR,,,ON
***31258,20240301,3,PARK ON PRIVATE PROPERTY,75,0038,AT,200 CHALKFARM DR,,,ON
***01846,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,167 RUSHOLME RD,,,ON
***12546,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,27 AUBURN AVE,,,ON
***01776,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,57 FELTHAM AVE,,,ON
***66040,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0039,OPP,124 MCGILL ST,,,ON
***84593,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,109 NAIRN AVE,,,ON
***05457,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0039,S/S,HUMBERT ST,E/O,DOVERCOURT RD,ON
***30318,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0040,NR,66 OXFORD ST,,,ON
***31259,20240301,3,PARK ON PRIVATE PROPERTY,75,0040,AT,200 CHALKFARM DR,,,ON
***84594,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0041,NR,123 NAIRN AVE,,,ON
***30319,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0041,OPP,91 OXFORD ST,,,ON
***12547,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0041,S/S,PETERBOROUGH AVE,W/O,DUFFERIN ST,ON
***00992,20240301,3,PARK ON PRIVATE PROPERTY,75,0042,,2340 FINCH AVE W,,,ON
***01777,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,38 SENECA AVE,,,ON
***66041,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,238 MUTUAL ST,,,ON
***20489,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0042,OPP,23 RANKIN CRES,,,ON
***20842,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,133 BINGHAM AVE,,,ON
***31260,20240301,3,PARK ON PRIVATE PROPERTY,75,0042,AT,200 CHALKFARM DR,,,ON
***46576,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0042,N/S,CARLTON ST,E/O,SUMACH ST,ON
***55261,20240301,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0042,NR,122 DONLANDS AVE,,,ON
***01778,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,38 SENECA AVE,,,ON
***01779,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,38 SENECA AVE,,,ON
***48836,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,E/S,FREDERICK ST,S/O,WILTON ST,XX
***80420,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,154 OSSINGTON AVE,,,ON
***05458,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,232 DOVERCOURT RD,,,ON
***12548,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,49 PETERBOROUGH AVE,,,ON
***01780,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,NR,38 SENECA AVE,,,ON
***66042,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,OPP,215 MUTUAL ST,,,ON
***89835,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,OPP,18 MILLWOOD RD,,,ON
***01621,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,NR,201 HUMEWOOD GDNS,,,ON
***20490,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,OPP,23 RANKIN CRES,,,ON
***30320,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,NR,27 LIPPINCOTT ST W,,,ON
***46577,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0044,N/S,CARLTON ST,E/O,SUMACH ST,ON
***84595,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,156 HOPE ST,,,ON
***01622,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,3 HUMEWOOD GDNS,,,ON
***31590,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,35 EARL GREY RD,,,ON
***12549,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,68 GREENLAW AVE,,,ON
***01781,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0046,NR,39 AVON AVE,,,ON
***01782,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0046,NR,39 AVON AVE,,,ON
***58131,20240301,3,PARK ON PRIVATE PROPERTY,75,0046,AT,120 TORRESDALE AVE,,,ON
***66043,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0046,OPP,215 MUTUAL ST,,,ON
***30321,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0046,OPP,66 LIPPINCOTT ST,,,ON
***58132,20240301,3,PARK ON PRIVATE PROPERTY,75,0047,AT,120 TORRESDALE AVE,,,ON
***20843,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,505 SCARBOROUGH RD,,,ON
***35903,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,19 PAULINE AVE,,,QC
***48837,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,77 HENRY LANE TER,,,ON
***55262,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,83 LANGFORD AVE,,,ON
***05459,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,35 LAKEVIEW AVE,,,ON
***01783,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0048,NR,39 AVON AVE,,,ON
***58133,20240301,3,PARK ON PRIVATE PROPERTY,75,0048,AT,120 TORRESDALE AVE,,,ON
***31261,20240301,347,PARK IN A FIRE ROUTE,250,0048,AT,170 CHALKFARM DR,,,ON
***35904,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0048,NR,19 PAULINE AVE,,,QC
***05460,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0048,NR,35 LAKEVIEW AVE,,,ON
***12550,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0048,E/S,VIA ITALIA,S/O,AUBURN AVE,ON
***58134,20240301,3,PARK ON PRIVATE PROPERTY,75,0049,AT,120 TORRESDALE AVE,,,ON
***58135,20240301,3,PARK ON PRIVATE PROPERTY,75,0049,AT,120 TORRESDALE AVE,,,ON
***55263,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,77 LANGFORD AVE,,,ON
***01847,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,99 JERSEY AVE,,,ON
***05461,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,19 LAKEVIEW AVE,,,ON
***12551,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,25 VIA ITALIA,,,ON
***00993,20240301,3,PARK ON PRIVATE PROPERTY,75,0050,,137 LINDYLOU RD,,,ON
***30322,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,113 LIPPINCOTT ST,,,ON
***31591,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,66 SHUDELL AVE,,,ON
***35905,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,41 PAULINE AVE,,,QC
***01784,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0051,NR,133 AVON AVE,,,ON
***31592,20240301,29,PARK PROHIBITED TIME NO PERMIT,30,0051,NR,82 SHUDELL AVE,,,ON
